Year,Oxygen,Temperature (oC),Dissolved oxygen (mg L-1),Dissolved organic carbon (mg L-1),Source/sink term (kg d-1),Inflow (kg d-1),Outflow (kg d-1),dM/dt (kg d-1),Peak A (RFU),Peak T (RFU)
2015,All,13.21,8.38,2.28,1.52,5.64,7.10,0.00,,
2015,Oxic,13.21,8.38,2.28,1.52,5.64,7.10,0.00,,
2016,All,13.60,12.54,1.73,0.39,5.65,5.96,0.00,,
2016,Oxic,13.60,12.54,1.73,0.39,5.65,5.96,0.00,,
2017,All,14.10,7.65,2.40,0.32,0.82,1.36,0.00,,
2017,Oxic,14.10,7.65,2.40,0.32,0.82,1.36,0.00,,
2018,All,11.79,0.19,3.04,0.25,1.25,1.73,0.00,,
2018,Anoxic,12.25,0.09,3.50,0.44,1.06,1.28,0.08,,
2018,Oxic,11.08,7.65,2.91,0.03,1.77,2.36,-0.04,,
2019,All,11.64,1.63,1.98,0.13,1.24,1.50,0.06,0.19,0.07
2019,Anoxic,10.88,0.10,2.75,0.28,1.05,1.62,0.13,0.23,0.09
2019,Oxic,12.27,2.77,1.71,0.07,1.24,1.50,0.02,0.17,0.07
2020,All,11.44,0.62,1.94,0.57,1.79,1.55,0.04,,
2020,Anoxic,10.65,0.35,2.26,0.58,4.18,3.08,-0.03,,
2020,Oxic,12.12,2.26,1.60,0.56,0.76,0.88,0.17,,
All,All,12.25,5.96,2.36,0.44,2.09,2.61,0.00,,
All,Anoxic,11.64,0.10,2.91,0.48,1.58,2.27,0.03,,
All,Oxic,12.81,7.66,2.24,0.37,2.51,2.66,0.00,,
